target_label	mapping_status	source
AminoAcidPeptideOrProtein	documented_in_release_docs	docs/label_mapping.md
AnatomicalAbnormality	documented_in_release_docs	docs/label_mapping.md
Bacterium	documented_in_release_docs	docs/label_mapping.md
BiologicFunction	documented_in_release_docs	docs/label_mapping.md
BiologicallyActiveSubstance	documented_in_release_docs	docs/label_mapping.md
BiomedicalOccupationOrDiscipline	documented_in_release_docs	docs/label_mapping.md
BodyPartOrganOrOrganComponent	documented_in_release_docs	docs/label_mapping.md
Cell	documented_in_release_docs	docs/label_mapping.md
CellComponent	documented_in_release_docs	docs/label_mapping.md
CellFunction	documented_in_release_docs	docs/label_mapping.md
CellOrMolecularDysfunction	documented_in_release_docs	docs/label_mapping.md
Chemical	documented_in_release_docs	docs/label_mapping.md
ClinicalAttribute	documented_in_release_docs	docs/label_mapping.md
DiseaseOrSyndrome	documented_in_release_docs	docs/label_mapping.md
EmbryonicStructure	documented_in_release_docs	docs/label_mapping.md
EnvironmentalEffectOfHumans	documented_in_release_docs	docs/label_mapping.md
Eukaryote	documented_in_release_docs	docs/label_mapping.md
ExperimentalModelOfDisease	documented_in_release_docs	docs/label_mapping.md
Finding	documented_in_release_docs	docs/label_mapping.md
GeneOrGenome	documented_in_release_docs	docs/label_mapping.md
HealthCareActivity	documented_in_release_docs	docs/label_mapping.md
HealthCareRelatedOrganization	documented_in_release_docs	docs/label_mapping.md
IndividualBehavior	documented_in_release_docs	docs/label_mapping.md
InjuryOrPoisoning	documented_in_release_docs	docs/label_mapping.md
MachineActivity	documented_in_release_docs	docs/label_mapping.md
ManufacturedObject	documented_in_release_docs	docs/label_mapping.md
MolecularSequence	documented_in_release_docs	docs/label_mapping.md
NaturalPhenomenonOrProcess	documented_in_release_docs	docs/label_mapping.md
NucleicAcidNucleosideOrNucleotide	documented_in_release_docs	docs/label_mapping.md
Organism	documented_in_release_docs	docs/label_mapping.md
OrganismAttribute	documented_in_release_docs	docs/label_mapping.md
PathologicFunction	documented_in_release_docs	docs/label_mapping.md
PatientOrDisabledGroup	documented_in_release_docs	docs/label_mapping.md
PharmacologicSubstance	documented_in_release_docs	docs/label_mapping.md
PopulationGroup	documented_in_release_docs	docs/label_mapping.md
ResearchActivity	documented_in_release_docs	docs/label_mapping.md
SignOrSymptom	documented_in_release_docs	docs/label_mapping.md
Substance	documented_in_release_docs	docs/label_mapping.md
TemporalConcept	documented_in_release_docs	docs/label_mapping.md
Virus	documented_in_release_docs	docs/label_mapping.md
